

LISTE DER VARIABLEN IN ALLBUS 2016 (ZA5250)


Variable       Position Label
msiops08       405      MUTTER: SIOPS I08
misei08        406      MUTTER: ISEI NACH GANZEBOOM I08
feduc          407      VATER: ALLGEMEINER SCHULABSCHLUSS
meduc          408      MUTTER: ALLGEMEINER SCHULABSCHLUSS
fde23          409      VATER: BERUFSAUSBILDUNG, HOECHST.ABSCHL.
mde23          410      MUTTER: BERUFSAUSBILDUNG,HOECHST.ABSCHL.
fisced97       411      VATER: ISCED 1997 - 5 STUFEN
misced97       412      MUTTER: ISCED 1997 - 5 STUFEN
di01a          413      BEFR.: NETTOEINKOMMEN, OFFENE ABFRAGE
di02a          414      BEFR.: NETTOEINKOMMEN, LISTENABFRAGE
inc            415      BFR.:NETTOEINKOMMEN<OFFENE+LISTENANGABE>
incc           416      NETTOEINKOMMEN<OFFENE+LISTENANGABE>,KAT.
dh01           417      MEHRPERSONENHAUSHALT?
dh02           418      MEHR ALS 8 HAUSHALTSPERSONEN?
dh03           419      ANZAHL WEITERER HAUSHALTSPERSONEN
dh04           420      ANZAHL DER HAUSHALTSPERSONEN
dh09           421      REDUZIERTE HAUSHALTSGROESSE
hh2kin         422      2.HAUSHALTSPERSON:VERWANDTSCHAFT Z.BEFR.
hh2sex         423      2.HAUSH.PERSON: GESCHLECHT
hh2mborn       424      2.HAUSH.PERSON: GEBURTSMONAT
hh2yborn       425      2.HAUSH.PERSON: GEBURTSJAHR
hh2age         426      2.HAUSH.PERSON: ALTER
hh2mstat       427      2.HAUSH.PERSON: FAMILIENSTAND
hh3kin         428      3.HAUSHALTSPERSON:VERWANDTSCHAFT Z.BEFR.
hh3sex         429      3.HAUSH.PERSON: GESCHLECHT
hh3mborn       430      3.HAUSH.PERSON: GEBURTSMONAT
hh3yborn       431      3.HAUSH.PERSON: GEBURTSJAHR
hh3age         432      3.HAUSH.PERSON: ALTER
hh3mstat       433      3.HAUSH.PERSON: FAMILIENSTAND
hh4kin         434      4.HAUSHALTSPERSON:VERWANDTSCHAFT Z.BEFR.
hh4sex         435      4.HAUSH.PERSON: GESCHLECHT
hh4mborn       436      4.HAUSH.PERSON: GEBURTSMONAT
hh4yborn       437      4.HAUSH.PERSON: GEBURTSJAHR
hh4age         438      4.HAUSH.PERSON: ALTER
hh4mstat       439      4.HAUSH.PERSON: FAMILIENSTAND
hh5kin         440      5.HAUSHALTSPERSON:VERWANDTSCHAFT Z.BEFR.
hh5sex         441      5.HAUSH.PERSON: GESCHLECHT
hh5mborn       442      5.HAUSH.PERSON: GEBURTSMONAT
hh5yborn       443      5.HAUSH.PERSON: GEBURTSJAHR
hh5age         444      5.HAUSH.PERSON: ALTER
hh5mstat       445      5.HAUSH.PERSON: FAMILIENSTAND
hh6kin         446      6.HAUSHALTSPERSON:VERWANDTSCHAFT Z.BEFR.
hh6sex         447      6.HAUSH.PERSON: GESCHLECHT
hh6mborn       448      6.HAUSH.PERSON: GEBURTSMONAT
hh6yborn       449      6.HAUSH.PERSON: GEBURTSJAHR
hh6age         450      6.HAUSH.PERSON: ALTER
hh6mstat       451      6.HAUSH.PERSON: FAMILIENSTAND
hh7kin         452      7.HAUSHALTSPERSON:VERWANDTSCHAFT Z.BEFR.
hh7sex         453      7.HAUSH.PERSON: GESCHLECHT
hh7mborn       454      7.HAUSH.PERSON: GEBURTSMONAT
hh7yborn       455      7.HAUSH.PERSON: GEBURTSJAHR
hh7age         456      7.HAUSH.PERSON: ALTER
hh7mstat       457      7.HAUSH.PERSON: FAMILIENSTAND
hh8kin         458      8.HAUSHALTSPERSON:VERWANDTSCHAFT Z.BEFR.
hh8sex         459      8.HAUSH.PERSON: GESCHLECHT
hh8mborn       460      8.HAUSH.PERSON: GEBURTSMONAT
hh8yborn       461      8.HAUSH.PERSON: GEBURTSJAHR
hh8age         462      8.HAUSH.PERSON: ALTER
hh8mstat       463      8.HAUSH.PERSON: FAMILIENSTAND
dh05           464      HAUSHALT-FEINKLASSIFIKATION
dh07           465      HAUSHALT-GROBKLASSIFIKATION
dh08           466      FAMILIEN-FEINTYPOLOGIE
fh01           467      GEMEINS.HH.: WER BEREITET MAHLZEITEN ZU?
fh02           468      GEMEINS.HH.: WER KAUFT LEBENSMITTEL EIN
fh03           469      GEMEINS.HAUSH.: WER MACHT REPARATUREN?
fh04           470      GEMEINS.HAUSH.: WER WAESCHT DIE WAESCHE?
fh05           471      GEM.HH.:WER ERLEDIGT VERSICHERUNGSSACHEN
fh06           472      GEMEINS.HAUSH.:WER SPUELT NACH DEM ESSEN
fh07           473      GEMEINS.HAUSHALT: WER PUTZT DIE WOHNUNG?
fh08           474      GEMEINS.HAUSHALT: KONTAKTE ZU BEHOERDEN?
fh09           475      GEMEINS.HH.: WER SPIELT MIT DEN KINDERN?
fh10           476      GEMEINS.HH.: WER BRINGT KINDER ZU BETT?
fh11           477      GEMEINS.HH.: M. KINDERN HAUSAUFG. MACHEN
di01b          478      MEHRPERS.HAUSH.:EINKOMMEN <OFFENE ABFR.>
di02b          479      MEHRPERS.HAUSH.: EINKOMMEN <LISTENABFR.>
di05           480      HAUSHALTSNETTOEINKOMMEN: OFFENE ABFRAGE
di06           481      HAUSHALTSNETTOEINKOMMEN: LISTENABFRAGE
hhinc          482      HAUSHALTSEINKOMMEN <OFFENE+LISTENANGABE>
hhincc         483      HAUSHALTSEINK.<OFFENE+LISTENANGABE>,KAT.
di07           484      PRO-KOPF-EINKOMMEN
di07c          485      PRO-KOPF-EINKOMMEN, KATEGORISIERT
di08           486      AEQUIVALENZEINKOMMEN OECD - NEU
di08c          487      AEQUIVALENZEINKOMMEN OECD - NEU, KAT.
dk05           488      KINDER AUSSER HAUS?
dk06           489      ANZAHL KINDER AUSSER HAUS
kh1sex         490      GESCHLECHT, 1.KIND, AUSSER HAUS
kh1yborn       491      GEBURTSJAHR, 1.KIND, AUSSER HAUS
kh1age         492      ALTER, 1.KIND, AUSSER HAUS
kh2sex         493      GESCHLECHT, 2.KIND, AUSSER HAUS
kh2yborn       494      GEBURTSJAHR, 2.KIND, AUSSER HAUS
kh2age         495      ALTER, 2.KIND, AUSSER HAUS
kh3sex         496      GESCHLECHT, 3.KIND, AUSSER HAUS
kh3yborn       497      GEBURTSJAHR, 3.KIND, AUSSER HAUS
kh3age         498      ALTER, 3.KIND, AUSSER HAUS
kh4sex         499      GESCHLECHT, 4.KIND, AUSSER HAUS
kh4yborn       500      GEBURTSJAHR, 4.KIND, AUSSER HAUS
kh4age         501      ALTER, 4.KIND, AUSSER HAUS
kh5sex         502      GESCHLECHT, 5.KIND, AUSSER HAUS
kh5yborn       503      GEBURTSJAHR, 5.KIND, AUSSER HAUS
kh5age         504      ALTER, 5.KIND, AUSSER HAUS
kh6sex         505      GESCHLECHT, 6.KIND, AUSSER HAUS
kh6yborn       506      GEBURTSJAHR, 6.KIND, AUSSER HAUS
kh6age         507      ALTER, 6.KIND, AUSSER HAUS
kh7sex         508      GESCHLECHT, 7.KIND, AUSSER HAUS
kh7yborn       509      GEBURTSJAHR, 7.KIND, AUSSER HAUS
kh7age         510      ALTER, 7.KIND, AUSSER HAUS
kh8sex         511      GESCHLECHT, 8.KIND, AUSSER HAUS
kh8yborn       512      GEBURTSJAHR, 8.KIND, AUSSER HAUS
kh8age         513      ALTER, 8.KIND, AUSSER HAUS
aq01           514      BEFR.: TYP DER WOHNUNG
gs01           515      SELBSTBESCHREIBUNG DES WOHNORTS
cf01           516      NACHTS ALLEINE ANGST IN ENGERER UMGEBUNG
pn12           517      VERBUNDENHEIT ZUR GEMEINDE
pn13           518      VERBUNDENHEIT ZUM BUNDESLAND U. BUERGERN
pn14           519      VERBUNDENHEIT MIT ALTER BRD
pn15           520      VERBUNDENHEIT MIT EHEMALIGER DDR
pn16           521      VERBUNDENHEIT ZU DEUTSCHLAND ALS GANZEM
pn17           522      VERBUNDENHEIT ZUR EU UND IHREN BUERGERN
mn10           523      KOENNEN MIGRANTEN ECHTE DEUTSCHE WERDEN?
mn11           524      DEUTSCH SEIN: DEUTSCHE STAATSBUERGERSCH.
mn12           525      DEUTSCH SEIN: CHRISTL.RELIGION ZUGEHOER.
mn13           526      DEUTSCH SEIN: BEKENNTNIS ZUR DEMOKRATIE
mn14           527      DEUTSCH SEIN: VIELE DEUTSCHE BEKANNTE
mn15           528      DEUTSCH SEIN: ALTE STAATSANGEH.AUFGEBEN
mn16           529      DEUTSCH SEIN: VERBUNDENHEIT ZU DEUTSCHL.
mn17           530      DEUTSCH SEIN: ALTE GEBRAEUCHE ABLEGEN
mn18           531      DEUTSCH SEIN: GUT DEUTSCH SPRECHEN
mn19           532      DEUTSCH SEIN: WESTLICHE WERTE TEILEN
mn20           533      DEUTSCH SEIN: MIND. 1 ELTERNTEIL DEUTSCH
mn21           534      DEUTSCH SEIN: IN DEUTSCHLAND GEBOREN
mc11           535      PERSOENLICHER KONTAKT ZU FLUECHTLINGEN?
mc12           536      FLUECHTLINGE IN DER NAEHE UNTERGEBRACHT?
mp16           537      FLUECHTL. CHANCE O.RISIKO: SOZIALSTAAT
mp17           538      FLUECHTL. CHANCE O.RISIKO: SICHERHEIT
mp18           539      FLUECHTL. CHANCE O.RISIKO: ZUSAMMENLEBEN
mp19           540      FLUECHTL. CHANCE O.RISIKO: WIRTSCHAFT
sm01           541      MITGLIED IN EINER GEWERKSCHAFT?
sm02           542      FRUEHER GEWERKSCHAFTSMITGLIED?
sm03           543      MITGLIED: POLITISCHE PARTEI
pv01           544      WAHLABSICHT, BUNDESTAGSWAHL; BEFR.
ls01           545      ALLGEMEINE LEBENSZUFRIEDENHEIT
xr19           546      NUTZEN SIE PRIVAT DAS INTERNET?
xr20           547      HAEUFIGKEIT INTERNETNUTZUNG PRIVAT
xr21           548      TEILNAHMEBEREITSCHAFT INTERNETUMFRAGE
xr22           549      BEFR.AKZEPTIERT UNVERBINDLICHE EINLADUNG
xr23           550      BEFRAGTER AKZEPTIERT DATENVERKNUEPFUNG
xr24           551      ONLINER: FRAGEBOGEN ONLINE AUSFUELLEN?
xr25           552      BEREITSCHAFT Z. ANGABE D. EMAIL-ADRESSE?
xr26           553      INT.: CHANCE, DASS PERSON TEILNIMMT
xt01           554      DATUM DES INTERVIEWS: TAG
xt02           555      DATUM DES INTERVIEWS: MONAT
xt03           556      DATUM DES INTERVIEWS
xt04           557      INTERVIEWBEGINN: STUNDE
xt05           558      INTERVIEWBEGINN: MINUTEN
xt06           559      INTERVIEWBEGINN: UHRZEIT
xt07           560      INTERVIEWENDE: STUNDE
xt08           561      INTERVIEWENDE: MINUTEN
xt09           562      INTERVIEWENDE: UHRZEIT
xt10           563      DAUER DES INTERVIEWS IN MINUTEN
xt10c          564      DAUER DES INTERVIEWS IN MINUTEN, KAT.
xs01           565      INTERVIEW M. BEFR. ALLEIN DURCHGEFUEHRT?
xs02           566      EHEP.O. PARTNER BEIM INTERVIEW ANWESEND?
xs03           567      KINDER BEIM INTERVIEW ANWESEND?
xs04           568      ANDERE FAMILIENANGEHOERIGE ANWESEND?
xs05           569      SONSTIGE PERSONEN BEIM INTERV. ANWESEND?
xs06           570      EINGRIFF DRITTER PERSONEN I.D. INTERV.?
xr17           571      ANTWORTBEREITSCHAFT DES BEFRAGTEN
xr18           572      ZUVERLAESSIGKEIT DER ANGABEN DES BEFR.
xs07           573      BEFR.: HAT AM BILDSCHIRM MITVERFOLGT
xh01           574      ART DES WOHNGEBAEUDES, BEFRAGTER
xh02           575      ZUSTAND DES WOHNGEBAEUDES, BEFRAGTER
xh03           576      GEGENSPRECHANLAGE?
xh04           577      EINSCHAETZUNG WOHNUMGEBUNG VOM BEFR.
xr06           578      INTERVIEW: ERREICHBARKEIT DES BEFRAGTEN
xr16           579      INTERVIEW: BEREITSCHAFT DES BEFRAGTEN
xs09           580      ZAHL DER KONTAKTVERSUCHE, BESUCHE
xs08           581      ZAHL DER KONTAKTVERSUCHE, TEL.
xs13           582      ZAHL DER KONTAKTVERSUCHE, ANDERE
xr14           583      ATTRAKTIVITAET DES BEFR., INTERVIEWSTART
xr27           584      INT.: SCHICHTEINSTUFUNG HAUSHALT, START
xi01           585      INTERVIEWER<IN>-NUMMER
xi02           586      GESCHLECHT, INTERVIEWER<IN>
xi03           587      ALTER, INTERVIEWER<IN>
xi03c          588      ALTER, INTERVIEWER<IN>, KAT.
xi04           589      INTERVIEWER: SCHULABSCHLUSS
xi05           590      INT.: WIEVIEL JAHRE FUER UMFRAGEINSTITUT
i000           591      ISSP-TEILNAHME: ARBEIT
i001_1         592      BERUF IST NUR ZUM GELD VERDIENEN DA
i001_2         593      BERUF AUSUEBEN, AUCH WENN GENUG GELD
i002_1         594      WICHTIGK.BERUF: SICHERE STELLUNG
i002_2         595      WICHTIGK.BERUF: HOHES EINKOMMEN
i002_3         596      WICHTIGK.BERUF: AUFSTIEGSCHANCEN
i002_4         597      WICHTIGK.BERUF: INTERESSANTE TAETIGKEIT
i002_5         598      WICHTIGK.BERUF: SELBSTAENDIGES ARBEITEN
i002_6         599      WICHTIGK.BERUF: HELFENDER BERUF
i002_7         600      WICHTIGK.BERUF: SOZIALE TAETIGKEIT
i002_8         601      WICHTIGK.BERUF: FLEXIBLE ARBEITSZEITEN
i002_9         602      WICHTIGK.BERUF: KONTAKT ZU MENSCHEN
i003           603      FUER FAMILIE VERZICHT AUF BERUFSCHANCEN?
i004           604      FUER FAMILIE UNBEFRIED. ARBEIT BEHALTEN?
i005           605      LETZTE 5 JAHRE: BENACHTEILIGUNG IM BERUF
i006           606      GRUND FUER BENACHTEILIGUNG IM BERUF?
i007           607      LETZTE 5 JAHRE: ERFAHRUNG MIT MOBBING?
i008_1         608      ARBEITN. BRAUCHEN STARKE GEWERKSCHAFTEN
i008_2         609      GEWERKSCHAFTEN SCHLECHT FUER WIRTSCHAFT
i009           610      GEWUENSCHTER BESCHAEFTIGUNGSUMFANG
i010           611      ZURZEIT IN ERZIEHUNGSURLAUB
i011           612      LIEBER MEHR ARBEITEN ODER WENIGER?
i012_1         613      BEFR.: SICHERE BERUFSSTELLUNG
i012_2         614      BEFR.: BERUF MIT HOHEM EINKOMMEN
i012_3         615      BEFR.: GUTE AUFSTIEGSCHANCEN IM BERUF
i012_4         616      BEFR.: INTERESSANTE TAETIGKEITEN
i012_5         617      BEFR.: SELBSTAENDIGE TAETIGKEIT
i012_6         618      BEFR.: HELFENDER BERUF
i012_7         619      BEFR.: SOZIAL NUETZLICHER BERUF
i012_8         620      BEFR.: BERUF MIT KONTAKT ZU MENSCHEN
i013_1         621      WIE OFT SCHWERE KOERPERLICHE ARBEIT?
i013_2         622      WIE OFT STRESS AM ARBEITSPLATZ?
i014_1         623      WIE OFT VON ZU HAUSE AUS ARBEITEN?
i014_2         624      WIE OFT AM WOCHENENDE ARBEITEN?
i015           625      ARBEITSAUTONOMIE: ARBEITSZEITEN
i016           626      ARBEITSAUTONOMIE: WECHSEL D. ARBEITSZEIT
i017           627      ARBEITSAUTONOMIE: ARBEITSORGANISATION
i018           628      ARBEITSAUTONOMIE: SPONTAN FREI NEHMEN
i019_1         629      BERUF BEEINTRAECHTIGT FAMILIENLEBEN
i019_2         630      FAMILIENLEBEN BEEINTRAECHTIGT BERUF
i020           631      BERUFSERFAHRUNG VERWENDBAR FUER ARBEIT?
i021           632      BERUFST.:LETZTE 12 MONATE WEITERBILDUNG?
i022_1         633      VERHAELTNIS VORGESETZTE-MITARBEITER
i022_2         634      VERHAELTNIS ZWISCHEN KOLLEGEN
i023           635      WIE ZUFRIEDEN IN BERUF?
i024_1         636      BEREIT HART ZU ARBEITEN FUER ARBEITGEBER
i024_2         637      BIN STOLZ FUER ARBEITGEBER ZU ARBEITEN
i024_3         638      WUERDE BESSER BEZAHLTE STELLE ABLEHNEN
i025_1         639      WUERDE ANDERE TAETIGKEIT VORZIEHEN
i025_2         640      BIN STOLZ AUF MEINE JETZIGE TAETIGKEIT
i026           641      WIE SCHWER GLEICHWERT. STELLE ZU FINDEN?
i027           642      WAHRSCHEINLICHKEIT NEUE STELLE SUCHEN
i028           643      SORGEN, DIE STELLE ZU VERLIEREN?
i029_1         644      SCHUTZ V. ARBEITSLOSIGKEIT: NEUES LERNEN
i029_2         645      SCHUTZ V. ARBEITSLOSIGKEIT: LOHNVERZICHT
i029_3         646      SCHUTZ V. ARBEITSLOSIGKEIT: BEFRISTUNG
i029_4         647      SCHUTZ V. ARBEITSLOSIGKEIT: PENDELN
i029_5         648      SCHUTZ V. ARBEITSLOSIGKEIT: UMZUG INLAND
i029_6         649      SCHUTZ V. ARBEITSLOSIGKEIT:UMZUG AUSLAND
i030           650      LETZTE 12 MONATE: NEBENTATIGKEIT?
i031           651      VERDIENST NEBENTAETIGK.VS. HAUPTTAETIGK.
i032           652      JEMALS FUER MIND. 1 JAHR BERUFSTAETIG?
i033a_1        653      BIS ZU WELCHEM JAHR ERWERBSTAETIG?
i033b_1        654      BIS ZU WELCHEM MONAT ERWERBSTAETIG?
i034           655      ZUFRIEDENHEIT M. LETZT. BERUFSTAETIGKEIT
i035           656      HAUPTGRUND FUER AUFGABE DES BERUFS?
i036           657      WAEREN SIE GERNE ERWERBSTAETIG?
i037           658      WAHRSCHEINLICHKEIT EINE STELLE ZU FINDEN
i038           659      BEFR.: SORGEN, KEINE ARBEIT ZU FINDEN
i039_1         660      UM ARBEIT ZU FINDEN: NEUES LERNEN
i039_2         661      UM ARBEIT ZU FINDEN: LOHNVERZICHT
i039_3         662      UM ARBEIT ZU FINDEN: BEFRISTUNG
i039_4         663      UM ARBEIT ZU FINDEN: PENDELN
i039_5         664      UM ARBEIT ZU FINDEN: UMZUG INLAND
i039_6         665      UM ARBEIT ZU FINDEN: UMZUG AUSLAND
i040_1         666      LETZTE 12 MONATE:BEI ARBEITSAMT GEMELDET
i040_2         667      LETZTE 12 MONATE: PRIVATE VERMITTLUNG
i040_3         668      LETZTE 12 MONATE: AUF ANZEIGE BEWORBEN
i040_4         669      LETZTE 12 MONATE: SELBER INSERIERT
i040_5         670      LETZTE 12 MONATE: INITIATIVBEWERBUNG
i040_6         671      LETZTE 12 MONATE:ANDERE UM HILFE GEBETEN
i041           672      OHNE ARBEIT:LETZTE 12 MON.WEITERBILDUNG?
i042           673      IM MOMENT AUF ARBEITSSUCHE?
i043           674      OHNE ARBEIT: HAUPTEINKOMMENSQUELLE
i044           675      SORGE,HAUPTEINKOMMENSQUELLE ZU VERLIEREN
i045_1         676      LETZTE 5 JAHRE: LAENGERE ARBEITSLOSIGK.
i045_2         677      LETZTE 5 JAHRE: WECHSEL ARBEITGEBER
i045_3         678      LETZTE 5 JAHRE: WECHSEL TAETIGKEIT
i045_4         679      LETZTE 5 JAHRE: SELBSTSTAENDIG GEMACHT
i045_5         680      LETZTE 5 JAHRE: ZWEITE ARBEIT ANGENOMMEN
i046           681      GESUNDHEITSZUSTAND <ISSP>
i047_1         682      ERWERBSTAETIGE 60+: GUT FUER WIRTSCHAFT
i047_2         683      ERWERBSTAETIGE 60+:NEHMEN ARBEITSPL. WEG
j000           684      ISSP-TEILNAHME: STAAT
j001           685      GESETZE SIND OHNE AUSNAHME ZU BEFOLGEN
j002_1         686      PROTEST: VERSAMMLUNG ORGANISIEREN
j002_2         687      PROTEST: PROTESTMAERSCHE UND DEMOS
j003_1         688      EXTREMISTEN: VERSAMMLUNGEN ABHALTEN
j003_2         689      EXTREMISTEN: BUECHER VEROEFFENTLICHEN
j004           690      WELCHES IST SCHLIMMERER JUSTIZIRRTUM?
j005_1         691      REGIERUNGSMASSNAHME: AUSGABEN KUERZEN
j005_2         692      REGIERUNGSM.: BESCHAEFTIGUNGSPROGRAMM
j005_3         693      REGIERUNGSMASSNAHME:WENIGER VORSCHRIFTEN
j005_4         694      REGIERUNGSM.: HILFE B.PRODUKTENTWICKLUNG
j005_5         695      REGIERUNGSM.: HILFE F.SCHWACHE INDUSTRIE
j005_6         696      REGIERUNGSM.: ARBEITSZEITVERKUERZUNG
j006_1         697      AUSGABEN ERHOEHEN FUER: UMWELTSCHUTZ
j006_2         698      AUSGABEN ERHOEHEN FUER: GESUNDHEITSWESEN
j006_3         699      AUSGABEN ERHOEHEN FUER: POLIZEI
j006_4         700      AUSGABEN ERHOEHEN FUER: BILDUNGSWESEN
j006_5         701      AUSGABEN ERHOEHEN FUER: VERTEIDIGUNG
j006_6         702      AUSGABEN ERHOEHEN FUER: RENTEN,PENSIONEN
j006_7         703      AUSGABEN ERHOEHEN FUER: ARBEITSLOSENGELD
j006_8         704      AUSGABEN ERHOEHEN FUER: KULTUR UND KUNST
j007_1         705      STAATL.VERANTWORT.: JEDEM E.ARBEITSPLATZ
j007_2         706      STAATL.VERANTWORT.: PREISKONTROLLE
j007_3         707      STAATL.VERANTWORT.:GESUNDHEITSVERSORGUNG
j007_4         708      STAATL.VERANT.:LEBENSSTAND.ALTER MENSCH.
j007_5         709      STAATL.VERANTWORT.: INDUSTRIEWACHSTUM
j007_6         710      STAATL.VERANT.: LEBENSSTAND.ARBEITSLOSER
j007_7         711      STAATL.VERANT.: EINKOMMENSNIVELLIERUNG
j007_8         712      STAATL.VERANT.: GELD FUER ARME STUDENTEN
j007_9         713      STAATL.VERANTWORT.: WOHNUNGEN FUER ARME
j007_10        714      STAATL.VERANTWORT.: UMWELTGESETZE
j007_11        715      STAATL.VERANTWORT.: GLEICHSTELLUNG
j008a_1        716      ZUSTAENDIGKEIT: GESUNDHEITSVERSORGUNG
j008b_1        717      ZUSTAENDIGKEIT: PFLEGE ALTER MENSCHEN
j008c_1        718      ZUSTAENDIGKEIT: SCHULBILDUNG DER KINDER
j009_1         719      EINFLUSS AUF REGIERUNG: AN 1. STELLE
j009_2         720      EINFLUSS AUF REGIERUNG: AN 2. STELLE
j010           721      EINFLUSS VON WELTWIRTSCHAFT AUF POLITIK
j011_1         722      STAAT: VIDEOUEBERWACHUNG OEFFENTL. RAUM
j011_2         723      STAAT: SOLLTE DAS INTERNET UEBERWACHEN
j012           724      INFORMATIONSFREIHEIT VS. SICHERHEIT
j013_1         725      STAAT: GEHEIMDIENSTL.UEBERWACHUNG INLAND
j013_2         726      STAAT: GEHEIMDIENST.UEBERWACHUNG AUSLAND
j014_1         727      TERRORABWEHR:UNBESCHRAENKTE INHAFTIERUNG
j014_2         728      TERRORABWEHR: TELEFONE ABHOEREN
j014_3         729      TERRORABWEHR: PERSONENKONTROLLEN
j015           730      POLITISCHES INTERESSE, BEFR. <ISSP>
j016_1         731      BEFR.:HABE KEINEN EINFLUSS AUF REGIERUNG
j016_2         732      BEFR.: EINBLICK IN POLITISCHE PROBLEME
j016_3         733      POLITIKER VERSUCHEN,VERSPRECHEN Z.HALTEN
j016_4         734      REGIERUNGSBEAMTE TUN D. BESTE FUERS LAND
j017_1         735      STEUERBELASTUNG: BEI HOHEM EINKOMMEN
j017_2         736      STEUERBELASTUNG: BEI MITTLEREM EINKOMMEN
j017_3         737      STEUERBELASTUNG: BEI NIEDRIGEM EINKOMMEN
j018_1         738      FINANZAMT: SORGT,DASS ALLE STEUER ZAHLEN
j018_2         739      FINANZAMT: BEHANDELT ALLE GLEICH
j019_1         740      GROSSUNTERNEHMEN: HALTEN SICH AN GESETZE
j019_2         741      GROSSUNTERNEHMEN: VERMEIDEN STEUERN
j020           742      KORRUPTION:WIEVIELE POLITIKER BETEILIGT?
j021           743      KORRUPTION: WIEVIELE BEAMTE BETEILIGT?
j022           744      WIE OFT BESTECHUNG GEFORDERT WORDEN?
s01            745      DAUER SCHULISCHE AUSBILDUNG IN JAHREN
s02            746      BEFR.: ERWERBSTAETIGKEIT
s03            747      SELBSTAENDIGE: ANZAHL MITARBEITER
s03_1          748      SELBSTAENDIGE: ANZAHL MITARBEITER, KAT.
s04            749      BEFR.: FUER MITARBEITER VERANTWORTLICH?
s05            750      FUER WIE VIELE MITARB. VERANTWORTLICH?
s05_1          751      FUER WIE VIELE MITARB. VERANTW., KATEG.
s06            752      ARBEIT:GEWINNORIENTIERT O. GEMEINNUETZIG
s07            753      ARBEIT:OEFFENTL.DIENST OD. PRIVATUNTERN.
s08            754      BEFRAGTE<R> BERUFSTAETIG? <ISSP>
s09            755      <EHE>PARTNER: ERWERBSTAETIGKEIT
s10            756      <EHE>PARTNER: ARBEITSSTUNDEN <ISSP>
s11            757      <EHE>PARTNER: ART DER ERWERBSTAETIGKEIT
s12            758      <EHE>PARTNER: F. MITARBEITER VERANTWORT.
s13            759      <EHE>PARTNER: BERUFSTAETIG? <ISSP>
id03           760      OBEN-UNTEN-SKALA: SELBSTEINSTUF., BEFR.
pv03           761      WAHLBETEILIGUNG, LETZTE BUNDESTAGSWAHL?
pv04           762      ZWEITSTIMME, LETZTE BUNDESTAGSWAHL
s17_1          763      ETHNISCHE ZUGEHOERIGKEIT: NENNUNG 1
s17_2          764      ETHNISCHE ZUGEHOERIGKEIT: NENNUNG 2
issp_c         765      CASI FRAGE SELBST AUSGEFUELLT? <ISSP>
issp_d_1       766      ISSP NICHT SELBST WEIL: ALTER
issp_d_2       767      ISSP NICHT SELBST WEIL: GESUNDHEIT
issp_d_3       768      ISSP N. SELBST WEIL: PROBLEM AUGEN,LESEN
issp_d_4       769      ISSP N. SELBST WEIL: BEDIENUNG COMPUTER
issp_d_5       770      ISSP NICHT SELBST WEIL: EINGABESTIFT
issp_d_6       771      ISSP NICHT SELBST WEIL: SPRACHKENNTNISSE
issp_d_7       772      ISSP NICHT SELBST WEIL: KEINE LUST
issp_d_8       773      ISSP NICHT SELBST WEIL: ZEIT
issp_d_9       774      ISSP NICHT SELBST WEIL: SONSTIGER GRUND
land           775      BUNDESLAND, IN DEM BEFRAGTE<R> WOHNT
bik            776      BIK-REGIONEN
gkpol          777      GROESSENKLASSE DER POLIT. GEMEINDE
xs11           778      <VIRTUELLE> POINT NUMMER
gr01           779      AUSLAENDERANTEIL AUF KREISEBENE, KATEG.
gr02           780      AUSLAENDERANTEIL IM STRASSENABSCHNITT
gr03           781      ARBEITSLOSENQUOTE AUF KREISEBENE, KATEG.
splt16_1       782      FRAGEBOGENSPLIT F005A, F005B
splt16_2       783      FRAGEBOGENSPLIT F010A, F010B
splt16_3       784      FRAGEBOGENSPLIT F026A, F026B
splt16_4       785      FRAGEBOGENSPLIT F037, F123, F124
splt16_5       786      FRAGEBOGENSPLIT F043A, F043B
splt16_6       787      FRAGEBOGENSPLIT F050, F051
splt16_7       788      FRAGEBOGENSPLIT ONLINE REKRUTIERUNG
splt16_8       789      FRAGEBOGENSPLIT OR017
wghtpew        790      PERSONENBEZOGENES OST-WEST-GEWICHT
wghtht         791      TRANSFORMATIONSGEWICHT HAUSHALT
wghthew        792      HAUSHALTSBEZOGENES OST-WEST-GEWICHT
wghthtew       793      OST-WEST TRANSFORMATIONSGEWICHT HAUSHALT
